asset_id,asset_type,material_type,age_years,crack_index,corrosion_level,vibration_rms,avg_daily_traffic,heavy_vehicle_pct,avg_temperature_f,humidity_pct,flood_risk_score,inspections_per_year,years_since_last_repair,strain_peak_microstrain,displacement_mm,failure_probability,failure_within_5yrs
A200050,Road,Steel,38.8,0.22,,4.063,9261.0,0.117,54.8,100.0,0.352,0.1,8.5,234.0,4.69,0.326,0
A200051,Pipeline,Steel,6.2,0.261,0.427,2.838,49093.0,0.118,80.0,77.6,0.184,1.64,1.8,95.2,4.99,0.289,0
A200052,Bridge,Concrete,45.5,0.566,0.883,2.163,5747.0,0.1,67.8,89.2,0.335,3.03,3.9,205.6,2.21,0.466,0
A200053,Road,Asphalt,69.3,0.775,0.275,2.441,13459.0,0.341,50.6,71.0,0.435,1.84,9.7,324.6,10.34,0.447,0
A200054,Road,Concrete,39.4,0.383,0.271,0.42,15172.0,0.215,45.5,86.3,0.302,1.4,3.3,224.0,5.68,0.233,0
A200055,Bridge,Steel,43.4,0.755,0.24,4.654,11748.0,0.126,77.8,82.8,0.0,2.22,1.2,249.0,5.19,0.254,0
A200056,Building,Composite,10.3,0.246,0.616,2.566,10395.0,0.114,96.5,74.6,0.0,0.27,7.3,236.1,4.4,0.19,0
A200057,Road,Asphalt,50.8,0.47,0.335,1.896,,0.294,76.8,100.0,0.0,1.83,0.0,231.2,8.39,0.188,0
A200058,Power_System,Steel,43.0,0.365,0.592,0.349,27010.0,0.443,44.3,68.4,0.114,2.87,5.9,206.0,5.57,0.404,0
A200059,Pipeline,Concrete,40.6,0.641,0.4,4.938,18283.0,0.344,88.1,99.6,0.393,1.28,2.6,405.5,2.17,0.246,0
A200060,Pipeline,Concrete,28.5,0.464,0.711,4.199,30189.0,0.205,81.1,38.5,1.0,2.45,7.6,71.9,5.19,0.404,0
A200061,Pipeline,Concrete,53.7,0.248,0.092,1.688,1916.0,0.22,93.4,82.5,0.748,1.71,3.9,189.8,7.06,0.29,0
A200062,Pipeline,Concrete,50.3,0.509,0.715,1.902,14303.0,0.216,39.4,50.4,0.409,1.11,4.7,179.6,5.29,0.509,0
A200063,Bridge,Steel,51.3,0.326,0.497,3.652,,0.229,71.7,66.9,0.31,2.95,0.0,53.7,1.32,0.315,0
A200064,Road,Composite,22.3,0.421,0.27,3.151,12790.0,0.231,52.5,69.0,0.285,2.39,0.0,141.9,2.59,0.412,0
A200065,Bridge,Steel,60.4,0.591,0.819,2.669,8210.0,0.277,41.3,75.9,0.322,3.28,7.3,133.4,0.05,0.472,0
A200066,Road,Concrete,49.6,,0.642,3.541,0.0,0.382,54.1,53.0,0.0,2.82,3.7,447.5,4.7,0.348,0
A200067,Bridge,Concrete,73.3,0.8176082742330277,1.0,2.178,,0.312,59.4,73.9,0.755,1.78,0.1,377.2,0.197,0.557,0
A200068,Power_System,Concrete,17.5,0.512,0.0,4.255,24473.0,0.45,73.7,44.2,1.0,1.44,6.4,266.2,0.368,0.449,0
A200069,Bridge,Asphalt,38.4,0.382,0.333,3.136,14485.0,0.238,107.4,56.7,0.796,2.77,9.1,,0.05,0.299,0
A200070,Pipeline,Composite,34.9,0.536,0.283,2.774,40598.0,0.239,61.3,73.9,0.168,1.13,10.2,,6.91,0.283,0
A200071,Road,Composite,49.1,1.0,0.358,1.995,,0.37,74.4,62.0,0.43,0.1,14.2,130.3,5.7,0.583,0
A200072,Building,Concrete,47.1,0.0,0.683,0.794,28793.0,0.268,76.2,73.9,0.55,1.26,11.3,285.1,7.63,0.301,0
A200073,Pipeline,Concrete,29.8,0.497,,1.929,0.0,0.159,81.1,46.3,0.318,1.17,1.1,364.6,1.67,0.326,0
A200074,Bridge,Concrete,37.2,0.905,0.248,6.17,,0.352,71.7,,0.743,1.94,14.6,310.0,7.24,0.465,0
A200075,Building,Concrete,5.0,0.229,0.575,1.571,,0.316,52.9,32.6,0.0,,3.0,162.3,6.09,0.376,0
A200076,Power_System,Composite,58.6,0.363,0.0,1.998,16551.0,0.158,85.2,63.8,0.0,1.5,12.7,218.5,5.07,0.254,0
A200077,Power_System,Concrete,37.6,0.996,0.491,,24329.0,0.015,97.1,,0.587,1.52,5.9,46.1,11.03,0.576,0
A200078,Pipeline,Composite,33.3,0.338,0.29,3.872,10808.0,0.005,75.2,80.9,0.847,2.44,8.3,250.9,4.92,0.362,0
A200079,Bridge,Concrete,33.9,0.464,0.528,4.119,35882.0,0.241,59.7,,0.577,0.99,6.1,424.8,9.82,0.512,0
A200080,Bridge,Concrete,33.5,,0.635,3.969,26444.0,0.25,51.3,85.0,0.517,0.16,10.3,194.5,0.2,0.465,0
A200081,Power_System,Composite,43.5,0.597,0.13,3.463,9932.0,0.201,54.3,,0.376,,6.4,271.1,3.46,0.263,0
A200082,Pipeline,Steel,30.2,0.337,0.155,2.551,19114.0,0.096,56.5,34.6,0.49,2.74,8.0,223.6,2.84,0.238,0
A200083,Bridge,Composite,34.3,0.856,0.523,4.494,0.0,0.066,93.0,,0.434,1.02,5.6,318.0,10.63,0.392,0
A200084,Building,Concrete,12.1,0.479,0.568,0.05,7617.0,0.335,84.0,94.4,0.43,2.7,10.1,348.7,0.525,0.544,0
A200085,Pipeline,Steel,44.6,0.192,0.525,1.352,31142.0,0.061,51.4,61.0,0.0,0.87,6.1,126.3,3.12,0.189,0
A200086,Pipeline,Concrete,52.7,0.975,0.565,3.505,23127.0,0.307,106.5,55.0,0.301,3.22,6.4,145.6,6.76,0.581,0
A200087,Road,Composite,36.6,0.248,0.417,3.491,33464.0,0.378,29.7,89.4,1.0,0.71,6.2,337.3,5.97,0.349,0
A200088,Road,Steel,24.9,0.939,0.0,5.537,16192.0,0.035,65.0,98.5,0.0,1.96,1.6,244.9,2.65,0.445,0
A200089,Bridge,Concrete,37.7,0.351,0.167,4.421,22309.0,0.354,67.9,75.2,0.112,1.57,11.1,285.7,6.69,0.236,0
A200090,Bridge,Concrete,60.8,0.424,0.0,5.584,14295.0,0.156,34.6,68.9,0.846,2.76,0.5,63.3,5.58,0.355,0
A200091,Building,Steel,31.1,0.194,0.705,3.474,,0.128,78.7,49.8,0.103,0.73,10.4,212.6,0.422,0.353,0
A200092,Road,Concrete,28.5,0.301,0.561,3.751,32277.0,0.171,49.7,74.4,0.148,2.6,5.0,279.5,2.25,0.454,0
A200093,Pipeline,Composite,38.9,0.345,0.551,4.322,52819.0,0.108,81.7,63.6,0.36,1.63,9.3,250.7,6.28,0.394,0
A200094,Road,Concrete,54.8,0.383,,2.965,2754.0,0.251,67.3,94.1,0.402,2.42,12.5,15.0,13.99,0.288,0
A200095,Building,Steel,46.6,0.466,0.604,2.745,23644.0,0.096,67.6,75.7,0.439,1.14,12.7,188.1,4.52,0.213,0
A200096,Bridge,Steel,36.4,0.368,0.8,4.185,18222.0,0.163,75.2,33.4,0.291,1.69,3.6,178.0,3.9,0.395,0
A200097,Road,Composite,20.2,0.368,0.534,4.253,22419.0,0.092,67.4,51.4,0.0,,7.3,,8.71,0.35,0
A200098,Bridge,Concrete,54.2,0.374,0.715,4.284,1536.0,0.155,65.3,91.6,0.171,,10.7,205.6,1.07,0.424,0
A200099,Bridge,Concrete,45.6,0.383,0.218,,19832.0,0.059,43.5,43.7,0.53,1.14,13.9,178.4,10.16,0.282,0
A200100,Power_System,Composite,4.4,0.216,,1.945,53945.0,0.243,67.5,58.5,0.125,1.67,8.6,160.8,8.32,0.246,0
A200101,Pipeline,Asphalt,68.3,0.245,0.896,1.741,,0.104,40.5,84.0,0.478,0.1,12.0,302.2,10.07,0.344,0
A200102,Road,Concrete,58.7,0.67,,3.788,48449.0,0.222,26.7,,0.363,2.11,6.7,183.5,0.49,0.382,0
A200103,Pipeline,Steel,51.9,0.558,0.39,2.306,,0.238,43.3,60.4,0.729,0.1,2.0,339.2,13.28,0.377,0
A200104,Building,Composite,50.2,,0.476,4.969,19758.0,0.256,38.2,75.5,0.483,2.34,10.5,,1.145,0.371,0
A200105,Road,Steel,26.7,0.296,0.24,2.112,19835.0,0.038,30.1,48.2,0.0,2.7,6.5,168.3,5.29,0.224,0
A200106,Pipeline,Steel,56.8,0.586,0.289,4.219,18521.0,0.241,66.0,66.9,0.519,1.3,0.0,89.4,0.05,0.395,0
A200107,Pipeline,Concrete,58.2,0.371,0.746,5.823,6120.0,0.246,83.0,,0.072,0.27,15.9,208.3,4.84,0.518,0
A200108,Road,Steel,65.0,0.418,0.177,6.374484065326838,24490.0,0.073,69.9,65.8,0.384,2.5,8.7,667.4275275192172,3.02,0.449,0
A200109,Pipeline,Composite,32.1,0.779,,4.952,0.0,0.163,47.3,25.0,0.183,0.1,1.0,15.0,7.16,0.487,0
A200110,Building,Steel,28.8,0.428,0.691,5.46,14609.0,0.141,68.5,80.3,0.059,2.17,3.5,262.6,5.65,0.405,0
A200111,Power_System,Concrete,75.9,0.30170703730013854,,4.385,13691.0,0.064,88.3,66.9,0.107,,8.2,66.6,6.44,0.277,0
A200112,Bridge,Concrete,42.0,0.475,0.437,2.445,9786.0,0.316,82.7,64.4,0.772,0.28,13.2,395.8,11.61,0.59,0
A200113,Power_System,Steel,6.9,0.311,0.497,0.586,16085.0,0.149,73.5,,0.907,,7.9,293.4,5.83,0.421,1
A200114,Bridge,Steel,24.1,0.079,0.845,0.188,25422.0,0.244,34.8,78.2,0.531,0.45,10.4,367.9,2.6,0.341,0
A200115,Building,Concrete,41.6,0.823,0.282,3.751,3296.0,0.266,39.0,62.1,0.532,2.12,2.5,70.7,0.63,0.444,0
A200116,Building,Steel,56.5,0.115,0.044,3.213,21878.0,0.32,85.4,38.4,0.599,0.38,7.0,290.3,5.18,0.176,0
A200117,Bridge,Composite,18.0,0.382,0.39,3.552,10142.0,0.072,42.3,55.4,0.623,0.49,0.0,90.6,4.57,0.497,0
A200118,Road,Concrete,33.7,0.963,0.811,4.039,,0.219,66.7,72.1,0.779,2.64,9.9,23.8,6.25,0.662,1
A200119,Building,Steel,25.6,0.769,0.677,2.351,16726.0,0.293,70.2,69.1,0.754,1.75,14.6,,8.73,0.54,0
A200120,Bridge,Composite,35.9,0.515,0.306,1.33,,0.275,62.7,72.4,0.757,,6.2,170.3,8.24,0.421,0
A200121,Pipeline,Steel,21.6,0.852,0.364,3.553,20688.0,0.194,58.1,73.9,0.73,,7.7,329.7,5.92,0.514,0
A200122,Building,Asphalt,53.2,0.763,0.377,3.481,26419.0,0.065,58.9,70.5,0.314,1.44,18.3,367.7,2.97,0.568,0
A200123,Pipeline,Concrete,23.7,0.878,,5.193,16052.0,0.189,57.9,77.5,0.626,0.99,8.1,235.7,7.1,0.518,0
A200124,Building,Composite,34.2,0.471,0.0,3.657,35495.0,0.027,9.1,70.6,0.204,0.1,6.8,272.9,12.96,0.177,0
A200125,Bridge,Asphalt,47.5,0.533,1.0,2.131,34745.0,0.0,79.7,52.1,0.285,1.84,8.9,115.4,5.48,0.462,0
A200126,Bridge,Concrete,29.6,1.0,0.377,5.862,0.0,0.231,72.9,54.5,0.585,2.3,14.2,365.1,10.2,0.521,0
A200127,Road,Concrete,39.8,0.13,0.543,3.518,15876.0,0.199,59.9,61.6,0.383,3.32,6.3,207.2,4.5,0.385,0
A200128,Bridge,Steel,31.0,0.799,0.955,5.109,19923.0,0.282,58.5,35.9,0.59,0.1,5.0,15.0,4.61,0.627,1
A200129,Road,Composite,66.8,0.48,0.195,4.511,,0.145,56.3,,0.71,2.64,2.5,382.9,0.05,0.377,0
A200130,Power_System,Steel,24.7,,0.875,4.28,33036.0,0.199,36.5,56.6,0.0,,7.3,279.4,8.61,0.409,0
A200131,Pipeline,Steel,44.4,0.506,0.011,2.386,7375.0,0.188,54.6,46.9,0.025,1.5,12.3,286.8,7.45,0.214,0
A200132,Road,Composite,31.0,0.35,0.193,2.721,5701.0,0.394,21.7,39.2,0.181,0.45,3.1,300.9,5.8,0.162,0
A200133,Road,Concrete,29.5,0.188,0.154,5.68634126821533,15033.0,0.201,60.6,59.9,0.723,1.68,4.8,1089.3345963359077,6.42,0.307,0
A200134,Power_System,Steel,13.5,0.619,0.206,0.05,18703.0,0.111,55.9,64.4,0.0,1.49,5.5,164.3,6.11,0.248,0
A200135,Road,Steel,38.5,0.537,0.734,5.222,25539.0,0.332,70.1,91.0,0.0,0.1,18.4,182.9,7.24,0.555,0
A200136,Power_System,Steel,33.6,0.335,0.467,3.826,15040.0,0.083,89.6,86.6,0.527,3.23,8.5,244.1,3.39,0.541,0
A200137,Pipeline,Composite,42.4,0.797,,4.343,37533.0,0.303,46.2,49.0,0.0,0.1,6.0,101.7,10.89,0.45,0
A200138,Pipeline,Steel,37.6,0.558,0.704,0.964,4569.0,0.386,50.8,87.1,0.314,2.41,9.1,129.1,0.05,0.444,0
A200139,Building,Steel,23.3,1.0,0.057,,32030.0,0.038,61.8,,0.541,0.9,12.4,138.5,8.05,0.437,0
A200140,Building,Steel,27.8,0.262,,5.283,30153.0,0.253,71.2,90.4,0.321,2.18,10.0,402.1,3.5,0.326,0
A200141,Pipeline,Concrete,12.0,0.664,0.32,3.863,14906.0,0.022,88.9,77.7,0.0,1.37,5.0,15.0,3.18,0.369,0
A200142,Road,Composite,46.3,,0.143,0.05,15450.0,0.111,79.1,65.5,0.129,,8.0,279.9,10.23,0.114,0
A200143,Building,Asphalt,52.6,0.691,0.464,0.698,19161.0,0.292,22.6,49.4,0.099,2.1,4.9,200.6,5.07,0.432,0
A200144,Road,Asphalt,32.9,0.571,0.497,2.329,,0.262,52.0,79.2,0.0,0.35,12.9,,7.2,0.324,0
A200145,Power_System,Steel,27.3,0.84,0.723,4.806,27261.0,0.363,52.9,20.3,0.386,2.39,4.3,376.8,8.16,0.643,0
A200146,Bridge,Steel,75.8,,0.571,3.005,21598.0,0.277,67.0,64.0,0.361,1.91,12.5,81.4,3.74,0.39,0
A200147,Road,Concrete,32.5,0.783,0.65,2.893,14270.0,0.028,66.4,52.4,0.279,3.19,0.0,186.1,11.5,0.477,0
A200148,Pipeline,Steel,55.7,0.729,0.07,1.789,9588.0,0.259,66.2,78.0,0.48,4.01,13.1,271.4,0.78,0.405,0
A200149,Power_System,Steel,24.1,0.216,0.374,4.375,,0.1,53.1,60.7,0.903,1.41,0.0,408.9,9.07,0.381,0
A200150,Road,Composite,33.7,0.372,0.591,3.158,11142.0,0.127,58.8,63.8,0.161,2.12,6.1,254.1,4.13,0.38,0
A200151,Building,Concrete,19.7,0.464,0.916,4.603,25332.0,0.228,41.1,72.5,0.177,,1.7,157.2,4.11,0.643,0
A200152,Pipeline,Composite,37.1,0.178,0.61,6.071,25525.0,0.348,30.1,65.1,0.451,0.91,0.0,283.4,4.19,0.381,0
A200153,Building,Steel,30.5,0.209,0.276,5.508,24899.0,0.285,57.6,48.4,0.402,2.06,4.2,76.2,6.72,0.223,0
A200154,Pipeline,Steel,40.6,0.881,0.587,3.206,11467.0,0.178,66.0,88.1,0.615,3.19,7.7,123.8,7.28,0.553,1
A200155,Power_System,Steel,43.4,0.464,0.177,,13584.0,0.097,47.4,58.6,0.468,0.65,12.9,,2.44,0.274,0
A200156,Road,Concrete,19.6,0.456,0.357,1.26,5376.0,0.27,28.2,95.9,0.461,2.07,2.4,344.9,7.58,0.161,0
A200157,Road,Concrete,73.0,0.9137228809142405,0.239,2.767,14115.0,0.201,49.1,49.8,0.0,0.1,4.3,356.7,13.38,0.296,0
A200158,Bridge,Composite,24.6,0.756,0.255,1.321,29636.0,0.132,78.7,72.5,0.34,1.1,13.2,268.7,6.08,0.402,0
A200159,Bridge,Concrete,44.0,0.593,0.536,1.616,12428.0,0.0,63.2,83.3,0.181,1.29,11.8,265.4,4.33,0.514,0
A200160,Bridge,Composite,55.9,0.689,1.0,1.563,37628.0,0.029,31.5,59.4,0.197,3.06,2.7,447.8,6.39,0.505,0
A200161,Power_System,Concrete,48.3,0.279,0.804,,21497.0,0.194,72.7,31.8,0.361,2.62,2.8,282.2,10.47,0.482,0
A200162,Building,Composite,28.3,0.0,,4.215,13097.0,0.058,41.0,,0.391,1.59,10.0,141.3,5.01,0.171,0
A200163,Bridge,Concrete,26.9,0.564,0.082,2.805,18501.0,0.272,67.3,55.0,0.334,2.44,8.8,122.6,5.34,0.292,0
A200164,Pipeline,Asphalt,31.3,0.676,0.395,5.109,38475.0,0.088,74.8,62.9,0.512,3.77,2.5,314.2,6.14,0.467,0
A200165,Road,Concrete,1.0,1.0,0.192,,30441.0,0.19,58.2,68.7,0.45,4.17,14.1,336.7,6.39,0.477,0
A200166,Pipeline,Concrete,52.6,0.315,0.476,3.168,20406.0,0.176,58.4,32.9,0.523,2.69,0.0,49.8,8.14,0.347,0
A200167,Pipeline,Concrete,65.0,0.338,0.589,2.992,,0.0,63.1,65.1,0.0,2.25,7.1,186.0,6.85,0.31,0
A200168,Road,Steel,58.6,0.255,,1.377,26243.0,0.174,84.3,75.1,0.533,1.24,7.2,299.4,12.82,0.399,0
A200169,Power_System,Concrete,74.4,1.0,0.437,2.019,13652.0,0.184,64.5,30.9,0.568,2.65,10.7,468.1,9.89,0.612,0
A200170,Road,Steel,26.0,0.402,0.298,0.251,21247.0,0.336,91.0,64.3,0.419,2.45,5.5,185.7,0.22,0.325,0
A200171,Pipeline,Asphalt,39.0,0.622,0.317,2.845,0.0,0.334,80.3,50.3,0.349,2.06,10.2,239.9,6.0,0.444,0
A200172,Pipeline,Composite,40.0,0.371,0.981,3.047,21658.0,0.2,71.2,91.7,0.722,3.18,6.5,138.7,3.38,0.5,0
A200173,Bridge,Steel,49.8,0.151,0.605,3.816,11861.0,0.151,87.1,,0.428,1.93,11.7,226.8,4.41,0.347,0
A200174,Bridge,Steel,32.3,0.197,0.453,1.014,25876.0,0.295,87.0,64.7,0.384,2.14,1.5,307.2,6.45,0.334,0
A200175,Road,Concrete,1.4,0.573,0.114,4.011,21735.0,0.288,79.0,48.9,0.0,1.1,10.2,36.6,8.89,0.164,0
A200176,Building,Concrete,46.4,0.555,0.696,2.006,29405.0,0.262,40.3,100.0,0.071,0.89,8.7,211.4,12.23,0.466,0
A200177,Building,Steel,68.9,,0.446,5.071,21170.0,0.248,28.0,89.0,0.372,2.01,10.5,211.7,6.63,0.41,0
A200178,Building,Asphalt,13.9,0.694,0.756,1.825,10040.0,0.129,60.8,82.8,0.601,2.7,1.9,177.3,9.45,0.416,0
A200179,Bridge,Steel,4.3,0.566,0.191,3.016,19764.0,0.148,57.5,68.4,0.752,1.83,9.7,322.2,3.24,0.297,0
A200180,Power_System,Concrete,45.4,0.52,0.0,4.884,24948.0,0.285,75.9,71.4,0.386,0.37,6.3,85.8,2.44,0.223,0
A200181,Building,Concrete,16.2,0.78,0.605,,35840.0,0.237,51.8,53.6,0.0,3.38,9.3,270.7,2.22,0.476,0
A200182,Building,Asphalt,41.5,0.626,0.0,1.207,39286.0,0.239,39.3,60.9,0.618,1.51,11.2,177.4,4.44,0.243,0
A200183,Pipeline,Composite,44.7,0.279,0.721,3.66,10126.0,0.074,75.9,66.8,1.0,0.64,4.4,321.7,7.11,0.289,0
A200184,Power_System,Asphalt,25.3,0.036,0.443,1.448,0.0,0.1,35.4,60.3,0.0,0.1,14.3,184.5,9.79,0.209,0
A200185,Bridge,Composite,17.8,0.837,0.798,2.915,35777.0,0.132,76.1,,0.517,0.34,6.5,276.5,0.05,0.564,0
A200186,Bridge,Steel,40.3,0.558,0.645,1.944,270.0,0.307,56.7,,0.369,0.76,6.6,,9.37,0.35,0
A200187,Bridge,Steel,25.5,0.796,1.0,,41751.0,0.285,62.8,87.6,0.0,2.23,12.1,345.4,8.14,0.628,1
A200188,Road,Steel,45.0,0.469,0.887,,21018.0,0.024,64.4,100.0,0.53,0.1,0.0,259.3,2.02,0.512,0
A200189,Bridge,Steel,43.4,0.556,0.64,2.267,24147.0,0.204,75.5,61.6,0.428,,5.7,225.1,0.05,0.507,0
A200190,Bridge,Composite,56.5,0.266,0.137,2.572,24706.0,0.297,34.1,81.7,0.91,1.48,2.1,205.7,1.77,0.273,0
A200191,Pipeline,Composite,48.1,1.0,0.078,4.482,24267.0,0.447,47.2,67.6,0.0,2.25,12.4,170.3,0.8550000000000001,0.378,1
A200192,Bridge,Composite,49.2,0.359,0.317,3.951,38362.0,0.145,61.7,38.5,0.583,0.54,10.6,401.0,8.14,0.331,0
A200193,Pipeline,Steel,1.3,0.447,0.466,4.735,19392.0,0.086,63.3,56.9,0.238,1.25,12.0,,0.05,0.291,0
